link_text,href,link_type,section_title
Smart quotes,#smart-quotes,internal_anchor,Table of Contents
Inconsistent encodings,#inconsistent-encodings,internal_anchor,Table of Contents
Line numbers,#line-numbers,internal_anchor,Table of Contents
Comparing objects for equality,#comparing-objects-for-equality,internal_anchor,Table of Contents
Copying Beautiful Soup objects,#copying-beautiful-soup-objects,internal_anchor,Table of Contents
Low-level search interface,#low-level-search-interface,internal_anchor,Table of Contents
Custom element filtering,#custom-element-filtering,internal_anchor,Table of Contents
ElementFilter,#ElementFilter,internal_anchor,Table of Contents
Custom element iteration,#custom-element-iteration,internal_anchor,Table of Contents
ElementFilter.filter(),#ElementFilter.filter,internal_anchor,Table of Contents
Advanced parser customization,#advanced-parser-customization,internal_anchor,Table of Contents
Parsing only part of a document,#parsing-only-part-of-a-document,internal_anchor,Table of Contents
SoupStrainer,#SoupStrainer,internal_anchor,Table of Contents
Customizing multi-valued attributes,#customizing-multi-valued-attributes,internal_anchor,Table of Contents
Handling duplicate attributes,#handling-duplicate-attributes,internal_anchor,Table of Contents
Instantiating custom subclasses,#instantiating-custom-subclasses,internal_anchor,Table of Contents
Troubleshooting,#troubleshooting,internal_anchor,Table of Contents
diagnose(),#diagnose,internal_anchor,Table of Contents
Errors when parsing a document,#errors-when-parsing-a-document,internal_anchor,Table of Contents
Version mismatch problems,#version-mismatch-problems,internal_anchor,Table of Contents
Parsing XML,#parsing-xml,internal_anchor,Table of Contents
Other parser problems,#other-parser-problems,internal_anchor,Table of Contents
Miscellaneous,#miscellaneous,internal_anchor,Table of Contents
Improving Performance,#improving-performance,internal_anchor,Table of Contents
Translating this documentation,#translating-this-documentation,internal_anchor,Table of Contents
Beautiful Soup 3,#id16,internal_anchor,Table of Contents
Porting code to BS4,#porting-code-to-bs4,internal_anchor,Table of Contents
You need a parser,#you-need-a-parser,internal_anchor,Table of Contents
Property names,#property-names,internal_anchor,Table of Contents
Generators,#generators,internal_anchor,Table of Contents
XML,#xml,internal_anchor,Table of Contents
Entities,#entities,internal_anchor,Table of Contents
Miscellaneous,#id17,internal_anchor,Table of Contents
Sphinx 7.2.6,https://www.sphinx-doc.org/,external_link,Quick search
Alabaster 0.7.16,https://alabaster.readthedocs.io,external_link,Quick search
Page source,_sources/index.rst.txt,documentation_link,Quick search
